{'bisim_weight': 3, 'model_epoch': 25, 'final_success_rate': 1.0, 'total_steps': 6, 'file_path': '/media/dz2478/T7 Shield/dino_bsmpcMod1/dino_bsmpc/plan_outputs/20250526132821_mod1_bisim_1024_coef_1_gH5/logs.json'}
{'bisim_weight': 3, 'model_epoch': 30, 'final_success_rate': 1.0, 'total_steps': 8, 'file_path': '/media/dz2478/T7 Shield/dino_bsmpcMod1/dino_bsmpc/plan_outputs/20250526133113_mod1_bisim_1024_coef_1_gH5/logs.json'}
{'bisim_weight': 3, 'model_epoch': 35, 'final_success_rate': 1.0, 'total_steps': 7, 'file_path': '/media/dz2478/T7 Shield/dino_bsmpcMod1/dino_bsmpc/plan_outputs/20250526133456_mod1_bisim_1024_coef_1_gH5/logs.json'}
{'bisim_weight': 3, 'model_epoch': 40, 'final_success_rate': 1.0, 'total_steps': 7, 'file_path': '/media/dz2478/T7 Shield/dino_bsmpcMod1/dino_bsmpc/plan_outputs/20250526133813_mod1_bisim_1024_coef_1_gH5/logs.json'}
{'bisim_weight': 3, 'model_epoch': 45, 'final_success_rate': 1.0, 'total_steps': 8, 'file_path': '/media/dz2478/T7 Shield/dino_bsmpcMod1/dino_bsmpc/plan_outputs/20250526134132_mod1_bisim_1024_coef_1_gH5/logs.json'}
{'bisim_weight': 3, 'model_epoch': 50, 'final_success_rate': 1.0, 'total_steps': 6, 'file_path': '/media/dz2478/T7 Shield/dino_bsmpcMod1/dino_bsmpc/plan_outputs/20250526134517_mod1_bisim_1024_coef_1_gH5/logs.json'}
{'bisim_weight': 4, 'model_epoch': 5, 'final_success_rate': 1.0, 'total_steps': 4, 'file_path': '/media/dz2478/T7 Shield/dino_bsmpcMod1/dino_bsmpc/plan_outputs/20250526134810_mod1_bisim_1024_coef_1_gH5/logs.json'}
{'bisim_weight': 4, 'model_epoch': 10, 'final_success_rate': 1.0, 'total_steps': 4, 'file_path': '/media/dz2478/T7 Shield/dino_bsmpcMod1/dino_bsmpc/plan_outputs/20250526135013_mod1_bisim_1024_coef_1_gH5/logs.json'}
{'bisim_weight': 4, 'model_epoch': 15, 'final_success_rate': 1.0, 'total_steps': 7, 'file_path': '/media/dz2478/T7 Shield/dino_bsmpcMod1/dino_bsmpc/plan_outputs/20250526135217_mod1_bisim_1024_coef_1_gH5/logs.json'}
{'bisim_weight': 4, 'model_epoch': 20, 'final_success_rate': 1.0, 'total_steps': 8, 'file_path': '/media/dz2478/T7 Shield/dino_bsmpcMod1/dino_bsmpc/plan_outputs/20250526135537_mod1_bisim_1024_coef_1_gH5/logs.json'}
