{'bisim_weight': 3, 'model_epoch': 25, 'final_success_rate': 1.0, 'total_steps': 11, 'file_path': '/media/dz2478/T7 Shield/dino_bsmpcMod1/dino_bsmpc/plan_outputs/20250526015438_mod1_bisim_1024_coef_1_gH5/logs.json'}
{'bisim_weight': 3, 'model_epoch': 30, 'final_success_rate': 1.0, 'total_steps': 7, 'file_path': '/media/dz2478/T7 Shield/dino_bsmpcMod1/dino_bsmpc/plan_outputs/20250526015936_mod1_bisim_1024_coef_1_gH5/logs.json'}
{'bisim_weight': 3, 'model_epoch': 35, 'final_success_rate': 1.0, 'total_steps': 7, 'file_path': '/media/dz2478/T7 Shield/dino_bsmpcMod1/dino_bsmpc/plan_outputs/20250526020253_mod1_bisim_1024_coef_1_gH5/logs.json'}
{'bisim_weight': 3, 'model_epoch': 40, 'final_success_rate': 1.0, 'total_steps': 4, 'file_path': '/media/dz2478/T7 Shield/dino_bsmpcMod1/dino_bsmpc/plan_outputs/20250526020611_mod1_bisim_1024_coef_1_gH5/logs.json'}
{'bisim_weight': 3, 'model_epoch': 45, 'final_success_rate': 1.0, 'total_steps': 9, 'file_path': '/media/dz2478/T7 Shield/dino_bsmpcMod1/dino_bsmpc/plan_outputs/20250526020813_mod1_bisim_1024_coef_1_gH5/logs.json'}
{'bisim_weight': 3, 'model_epoch': 50, 'final_success_rate': 1.0, 'total_steps': 17, 'file_path': '/media/dz2478/T7 Shield/dino_bsmpcMod1/dino_bsmpc/plan_outputs/20250526021221_mod1_bisim_1024_coef_1_gH5/logs.json'}
{'bisim_weight': 4, 'model_epoch': 5, 'final_success_rate': 0.4, 'total_steps': 30, 'file_path': '/media/dz2478/T7 Shield/dino_bsmpcMod1/dino_bsmpc/plan_outputs/20250526021949_mod1_bisim_1024_coef_1_gH5/logs.json'}
{'bisim_weight': 4, 'model_epoch': 10, 'final_success_rate': 1.0, 'total_steps': 13, 'file_path': '/media/dz2478/T7 Shield/dino_bsmpcMod1/dino_bsmpc/plan_outputs/20250526023244_mod1_bisim_1024_coef_1_gH5/logs.json'}
{'bisim_weight': 4, 'model_epoch': 15, 'final_success_rate': 1.0, 'total_steps': 9, 'file_path': '/media/dz2478/T7 Shield/dino_bsmpcMod1/dino_bsmpc/plan_outputs/20250526023831_mod1_bisim_1024_coef_1_gH5/logs.json'}
{'bisim_weight': 4, 'model_epoch': 20, 'final_success_rate': 1.0, 'total_steps': 6, 'file_path': '/media/dz2478/T7 Shield/dino_bsmpcMod1/dino_bsmpc/plan_outputs/20250526024239_mod1_bisim_1024_coef_1_gH5/logs.json'}
{'bisim_weight': 4, 'model_epoch': 25, 'final_success_rate': 1.0, 'total_steps': 12, 'file_path': '/media/dz2478/T7 Shield/dino_bsmpcMod1/dino_bsmpc/plan_outputs/20250526024533_mod1_bisim_1024_coef_1_gH5/logs.json'}
{'bisim_weight': 4, 'model_epoch': 30, 'final_success_rate': 1.0, 'total_steps': 11, 'file_path': '/media/dz2478/T7 Shield/dino_bsmpcMod1/dino_bsmpc/plan_outputs/20250526025056_mod1_bisim_1024_coef_1_gH5/logs.json'}
{'bisim_weight': 4, 'model_epoch': 35, 'final_success_rate': 1.0, 'total_steps': 6, 'file_path': '/media/dz2478/T7 Shield/dino_bsmpcMod1/dino_bsmpc/plan_outputs/20250526025555_mod1_bisim_1024_coef_1_gH5/logs.json'}
{'bisim_weight': 4, 'model_epoch': 40, 'final_success_rate': 1.0, 'total_steps': 11, 'file_path': '/media/dz2478/T7 Shield/dino_bsmpcMod1/dino_bsmpc/plan_outputs/20250526025848_mod1_bisim_1024_coef_1_gH5/logs.json'}
{'bisim_weight': 4, 'model_epoch': 45, 'final_success_rate': 1.0, 'total_steps': 21, 'file_path': '/media/dz2478/T7 Shield/dino_bsmpcMod1/dino_bsmpc/plan_outputs/20250526030342_mod1_bisim_1024_coef_1_gH5/logs.json'}
{'bisim_weight': 4, 'model_epoch': 50, 'final_success_rate': 1.0, 'total_steps': 10, 'file_path': '/media/dz2478/T7 Shield/dino_bsmpcMod1/dino_bsmpc/plan_outputs/20250526031249_mod1_bisim_1024_coef_1_gH5/logs.json'}
{'bisim_weight': 5, 'model_epoch': 5, 'final_success_rate': 1.0, 'total_steps': 8, 'file_path': '/media/dz2478/T7 Shield/dino_bsmpcMod1/dino_bsmpc/plan_outputs/20250526031722_mod1_bisim_1024_coef_1_gH5/logs.json'}
{'bisim_weight': 5, 'model_epoch': 10, 'final_success_rate': 1.0, 'total_steps': 9, 'file_path': '/media/dz2478/T7 Shield/dino_bsmpcMod1/dino_bsmpc/plan_outputs/20250526032106_mod1_bisim_1024_coef_1_gH5/logs.json'}
{'bisim_weight': 5, 'model_epoch': 15, 'final_success_rate': 1.0, 'total_steps': 10, 'file_path': '/media/dz2478/T7 Shield/dino_bsmpcMod1/dino_bsmpc/plan_outputs/20250526032514_mod1_bisim_1024_coef_1_gH5/logs.json'}
{'bisim_weight': 5, 'model_epoch': 20, 'final_success_rate': 1.0, 'total_steps': 8, 'file_path': '/media/dz2478/T7 Shield/dino_bsmpcMod1/dino_bsmpc/plan_outputs/20250526032948_mod1_bisim_1024_coef_1_gH5/logs.json'}
{'bisim_weight': 5, 'model_epoch': 25, 'final_success_rate': 1.0, 'total_steps': 8, 'file_path': '/media/dz2478/T7 Shield/dino_bsmpcMod1/dino_bsmpc/plan_outputs/20250526033330_mod1_bisim_1024_coef_1_gH5/logs.json'}
{'bisim_weight': 5, 'model_epoch': 30, 'final_success_rate': 1.0, 'total_steps': 10, 'file_path': '/media/dz2478/T7 Shield/dino_bsmpcMod1/dino_bsmpc/plan_outputs/20250526033714_mod1_bisim_1024_coef_1_gH5/logs.json'}
{'bisim_weight': 5, 'model_epoch': 35, 'final_success_rate': 1.0, 'total_steps': 6, 'file_path': '/media/dz2478/T7 Shield/dino_bsmpcMod1/dino_bsmpc/plan_outputs/20250526034145_mod1_bisim_1024_coef_1_gH5/logs.json'}
